"","logFC","logCPM","F","PValue","FDR"
"PRKAG2",-0.117495949070272,5.02053264248571,1.96043629993939,0.590707794076317,0.846445983366063
"CARS2",-0.109545632450183,5.20970368859596,2.40597597587926,0.590983499719716,0.846640543520488
"ENPP7P1",0.808742627431264,1.29049545017432,5.58171468922158,0.590984664522153,0.846640543520488
"C5orf51",-0.0971645804577222,5.53972031683575,2.20764442133807,0.591017110764473,0.846640543520488
"ZDHHC20-IT1",-0.743663386507035,1.37259631037763,3.92713255265279,0.59111313713062,0.846695231458578
"MKRN2OS",0.529997699204621,1.73894846486157,6.06216873415357,0.591324685196893,0.846809324303343
"MDH1",-0.0665508306034015,6.59794793761133,1.71832489867116,0.591338750166089,0.846809324303343
"HLA-G",0.574606990607293,1.63750967628512,5.02882862680489,0.591366364013697,0.846809324303343
"LURAP1L",0.387201195951768,2.2164434798772,6.77001759000393,0.591548827870872,0.846987736716697
"LINC00950",0.258967248198496,3.0187327624759,4.49388401740431,0.591642866250398,0.847039517797205
"SNORA71B",0.505118670329883,1.80188219174589,6.34062444495989,0.591723755564868,0.847068188787686
"MLLT4-AS1",0.444389432920912,1.98870604412901,4.73626160475533,0.591778643779318,0.847068188787686
"TST",0.14826131665763,4.3857295161394,1.6554090536045,0.591919473297327,0.847186916798326
"LZIC",-0.133952898986356,4.65746727205258,2.07866520620524,0.592046436858751,0.847285777829733
"TCF7L1",0.119102756498615,4.96871171845927,3.42679862136106,0.592322228704454,0.847597588904809
"ITM2C",0.0427323022050068,7.85115920417267,0.463236297043944,0.592413832580197,0.847645796621738
"KIAA0020",-0.139007467025337,4.55517940510968,3.44268224616831,0.592549710532111,0.847757337570673
"FAM83A",-0.550760181620823,1.6908534974819,6.11676609640075,0.592815560990588,0.848054789429992
"TP53I3",-0.142121036159018,4.49324631403202,2.71109723353854,0.592988811135714,0.848096279253807
"ANKRD13B",-0.176379948500806,3.93327071477258,4.23894506456944,0.593034963687468,0.848096279253807
"C1orf109",0.153491592533243,4.28649834619808,3.8154691606225,0.593098794218713,0.848096279253807
"KANSL1L",0.144005008286116,4.45395846599029,2.70324431336752,0.593108603671766,0.848096279253807
"FAM86FP",0.490332025322598,1.83780267935114,5.55261463115106,0.59313429314307,0.848096279253807
