"","logFC","logCPM","F","PValue"
"HK2",-0.0896390939684279,6.37389573301755,1.83150079955557,0.504211722670232
"C1R",0.689281703558126,3.41206141961899,27.0686444053935,0.0937909946677753
"ALDH4A1",0.998358208901734,4.28897686739305,143.863277437175,0.000687173691316691
"STARD9",0.109978931306005,5.58752229304975,2.4011997209138,0.535674097778196
"THEM4",-0.43831688172926,4.32424918754141,28.5372665918326,0.12452672932696
"UBR1",0.0373553332584072,5.86658220844946,0.395805604385622,0.816124947129173
"AMFR",-0.207477792823741,6.61800771672945,16.0931701400062,0.0924151631800724
"MED8",0.21383744564546,4.05662886969752,6.21505731534435,0.495880846972955
"ISL2",-0.511094434463671,2.73427248754049,14.2414363992646,0.357711888037936
"RSPRY1",0.272874095671967,5.43275333938766,20.7734938649031,0.14660272632656
"CCDC17",-0.446539152296831,2.21063109301886,8.25276955579507,0.539535380619234
"GPBP1L1",-0.198098014731025,7.04316834320173,15.7337082061057,0.0619613591699931
"NAE1",-0.325032878948778,5.80567638812343,21.417728434106,0.0488209496488623
"TMEM69",-0.175440395122239,4.91978944990113,6.23522925519309,0.43939781411613
"ADGRG5",0.144640619106992,2.92419610319713,1.12307381037802,0.773868126520905
"DRC7",0.0215851394463267,1.8975916181285,0.0107748948629337,0.980355456350724
"ACE",0.501400472433663,3.14751627639266,13.0746578281391,0.273586608056088
"UROC1",0.713957053840602,1.43819598414177,4.44017272871225,0.578733250461441
"EFCAB14",0.450628604466643,7.36305291059693,87.7942944667709,2.11997087561347e-06
"SPON2",0.0629119652496516,1.48833038137054,0.0391491399010421,0.958629198687023
"CHCHD6",-0.25017800638513,3.69756257891605,8.38739795639046,0.490706123928737
"CTBP1",0.0682524833763105,6.59609047963069,0.941543437769066,0.581893263883206
"ANKRD18CP",0.601467109296045,1.69281652223672,6.78237443114288,0.55721521637592
"TPPP3",0.268092528897182,1.84716943499313,1.2963615504711,0.767880288666507
"ZDHHC1",0.452592777791203,3.95861638283178,18.4451945165596,0.166934233406848
"ATP6V0D1",0.410933209884361,5.61193252589062,36.0235148380754,0.0199608176125952
"ZFYVE28",-1.3892457632877,4.7051396470107,183.200773311271,1.00080834480273e-07
"RLTPR",-0.518403899209614,2.92765944402385,10.4644233331679,0.307370486921285
"FAM131B",-0.237521635799064,1.60222614403026,0.600464512696516,0.828760518734849
"RGS12",-0.129742163559697,5.18682211411307,3.65606342408143,0.528001692774473
"PSKH1",0.292749385611308,4.96356444138822,18.7698145521558,0.18953308883168
"ZYX",0.178614355654915,7.1076938651968,9.96082927456739,0.0845352124542972
"ABR",0.108350394406789,7.1181159847582,4.63379441122553,0.293500064181131
"TCAF2P1",-0.120689124524168,1.64606853551109,0.301260166695704,0.909101801042768
"LYPD5",1.14511536986513,3.1689063755642,84.782573899015,0.0140684649229493
"CCDC117",0.528883894913903,5.53463835779033,71.6586231071127,0.00367518676198315
"ZNF230",0.383152436165916,2.8090950585935,7.73613601143997,0.471669337183672
"CCDC107",-0.0589420561308334,3.15480212076787,0.195320340189225,0.896790101412803
"ZNF222",-0.0609070148673293,2.13847663372691,0.0918534549228695,0.935568667108746
"NPR2",0.566517092601527,4.37173481061766,38.2659767911303,0.0430254667079264
"ZNF221",0.199614517716739,2.35321041140616,1.79596999431076,0.764855212977051
"ZNF235",0.182418784269411,3.17316234686753,2.92204475350379,0.685633383533469
"GNE",-0.988942297844305,4.98552520397448,209.091093714717,1.50967106203597e-05
"TNFRSF13C",-0.0281191307056813,2.44671064809841,0.0349313883522608,0.964681339740955
"ARHGAP35",0.25568480857145,7.87104743977201,37.1380489721835,0.00126450119958702
"CALM3",-0.168032022414535,8.24908702256725,14.5647664294983,0.0157002613644139
"DFFA",-0.171337798513553,6.3982155416589,10.0802119600353,0.198274202344378
"CCDC28B",0.399940718869355,2.09544732288734,3.35010030986106,0.605747846656955
"IQCC",-0.123668947333308,3.02673793224632,0.71662454318319,0.797157334776402
"TMEM234",0.995208440752612,3.31184939662373,82.4265803014159,0.0221147907208155
"BSDC1",0.0736369894963386,6.62387136088921,2.01844125229094,0.548515053963478
"ZBTB8A",-0.392637824751636,4.00836212679165,20.671381830098,0.222620603697401
"ATAD3B",0.508147633577444,5.3461974570116,50.2631003424,0.0090990720273081
"SSU72",0.18296376310794,6.2710010175535,11.3480335036022,0.188467018639931
"UBE2J2",0.20596844323153,5.04961225459954,5.96556505813595,0.340307097866641
"ZNF362",0.0208316149997368,5.09169662262985,0.0793014031159248,0.921947744816509
"CPAMD8",5.1520646213641,2.7275191978826,557.029055009486,9.51626110304427e-09
"NR2F6",0.386238308699359,4.9980666367408,9.07256035118441,0.080035070936243
"ANKLE1",0.538927516881447,3.30710058052036,18.2842730926523,0.207908511773762
"CCDC58",-0.308789853070547,3.7625857037731,8.1273075308941,0.383157353748571
"VMA21",0.0830888234670798,6.13274879652821,2.15005635959163,0.569481948733943
"KALRN",0.316848775407038,3.84931230798585,13.1517112156642,0.352897473291028
"CILP2",0.274446087158476,3.75835106612971,5.3495324597313,0.43751512185714
"FAM86C2P",0.320478826060855,3.28210246430215,10.0992346970763,0.456703234587428
"ABCG1",-0.889621193278558,2.63311728407905,40.4966886419533,0.133921214318333
"RSPH1",1.37112547972601,2.78313261871891,92.5278268151726,0.014941055868413
"SLC37A1",0.741518136611147,5.14623560639049,110.304379472225,0.000444056419414893
"PDE9A",-0.335216980603872,4.8867601958436,21.1997586824354,0.145715180858115
"WDR4",0.741554983845356,3.54972426341729,38.5069505834184,0.0567776335564235
"NDUFV3",0.0847023947507664,5.21977084091378,1.95773202590069,0.676295400824404
"PKNOX1",-0.0300631595706117,4.52040239384762,0.170436154732084,0.90895161687006
"U2AF1",-0.0228090762631836,6.06886184437526,0.19393651969275,0.878727262225673
"HSF2BP",0.141110676946138,1.44992112622841,0.255848562187884,0.910735596722137
"RRP1B",-0.0163788073847293,6.41122718574651,0.0938240447962771,0.901515658307906
"PDXK",0.63080430283097,7.35259640224168,115.418535297879,4.55127768893876e-08
"G6PD",0.505959231708293,7.16360132052028,97.1976750313513,7.14047763393863e-07
"CSTB",-0.14242103085748,6.29533843268056,6.18949050664233,0.302325502694923
"RRP1",0.352447710586198,4.61906604859207,25.5192474705829,0.164932758218344
"AGPAT3",0.474688296216451,7.20103175544883,97.118467046043,2.40304999189152e-06
